Model,Hidden Layers,Parameters,Epochs,Train Accuracy,Validation Accuracy,Test Accuracy,Train Loss,Validation Loss,Test Loss
NN_1_Hidden_16,"(16,)",275,50,0.991150438785553,0.8965517282485962,0.9722222089767456,0.08514992892742157,0.1789586842060089,0.10938041657209396
NN_2_Hidden_32_16,"(32, 16)",1027,50,1.0,0.9655172228813171,0.9722222089767456,0.021997006610035896,0.12864117324352264,0.10435172915458679
NN_2_Hidden_64_32,"(64, 32)",3075,50,1.0,0.9655172228813171,0.9722222089767456,0.0034292303025722504,0.0408228375017643,0.059154536575078964
