Epochs,Train Accuracy,Validation Accuracy,Test Accuracy,Train Loss,Validation Loss,Test Loss
10,0.6460176706314087,0.4137931168079376,0.5277777910232544,0.9399310350418091,1.1217211484909058,0.949731707572937
30,0.9203540086746216,0.8965517282485962,0.9166666865348816,0.3288401663303375,0.34066593647003174,0.32323235273361206
50,1.0,0.9655172228813171,0.9722222089767456,0.12416331470012665,0.19911861419677734,0.15449158847332
100,1.0,0.9655172228813171,0.9722222089767456,0.03467143326997757,0.08533947914838791,0.07033111155033112
